player,team,pick,av_delta
Russell Wilson,SEA,75,127.1
Bobby Wagner,SEA,47,113.2
Cameron Heyward,PIT,31,96.0
Aaron Donald,STL,13,95.2
Dak Prescott,DAL,135,94.0
Jason Kelce,PHI,191,93.5
Demario Davis,NYJ,77,91.3
Lamar Jackson,BAL,32,91.3
Kirk Cousins,WAS,102,90.7
Tyreek Hill,KAN,165,88.9
Cameron Jordan,NOR,24,87.7
Richard Sherman,SEA,154,87.6
Patrick Mahomes,KAN,10,83.8
Antonio Brown,PIT,195,83.5
Stefon Diggs,MIN,146,80.4
Travis Kelce,KAN,63,80.1
J.J. Watt,HOU,11,80.0
Lavonte David,TAM,58,78.6
Geno Atkins,CIN,120,78.5
Chris Jones,KAN,37,78.4
